LIC-MX64-ENT-5YR,UTM,"Meraki MX64 Enterprise License and Support, 5 Years",900.00
LIC-MX64-ENT-7YR,UTM,"Meraki MX64 Enterprise License and Support, 7 Years",1260.00
LIC-MX64-ENT-10YR,UTM,"Meraki MX64 Enterprise License and Support, 10 Years",1800.00
LIC-MX64-SEC-1YR,UTM,"Meraki MX64 Advanced Security License and Support, 1 Year",600.00
LIC-MX64-SEC-3YR,UTM,"Meraki MX64 Advanced Security License and Support, 3 Years",1200.00
LIC-MX64-SEC-5YR,UTM,"Meraki MX64 Advanced Security License and Support, 5 Years",1800.00
LIC-MX64-SEC-7YR,UTM,"Meraki MX64 Advanced Security License and Support, 7 Years",2520.00
LIC-MX64-SEC-10YR,UTM,"Meraki MX64 Advanced Security License and Support, 10 Years",3600.00
LIC-MX64W-ENT-1YR,UTM,"Meraki MX64W Enterprise License and Support, 1 Year",325.00
LIC-MX64W-ENT-3YR,UTM,"Meraki MX64W Enterprise License and Support, 3 Years",650.00
LIC-MX64W-ENT-5YR,UTM,"Meraki MX64W Enterprise License and Support, 5 Years",975.00
LIC-MX64W-ENT-7YR,UTM,"Meraki MX64W Enterprise License and Support, 7 Years",1365.00
LIC-MX64W-ENT-10YR,UTM,"Meraki MX64W Enterprise License and Support, 10 Years",1950.00
LIC-MX64W-SEC-1YR,UTM,"Meraki MX64W Advanced Security License and Support, 1 Year",650.00
LIC-MX64W-SEC-3YR,UTM,"Meraki MX64W Advanced Security License and Support, 3 Years",1300.00
LIC-MX64W-SEC-5YR,UTM,"Meraki MX64W Advanced Security License and Support, 5 Years",1950.00
LIC-MX64W-SEC-7YR,UTM,"Meraki MX64W Advanced Security License and Support, 7 Years",2730.00
LIC-MX64W-SEC-10YR,UTM,"Meraki MX64W Advanced Security License and Support, 10 Years",3900.00
LIC-MX65-ENT-1YR,UTM,"Meraki MX65 Enterprise License and Support, 1 Year",325.00
LIC-MX65-ENT-3YR,UTM,"Meraki MX65 Enterprise License and Support, 3 Years",650.00
LIC-MX65-ENT-5YR,UTM,"Meraki MX65 Enterprise License and Support, 5 Years",975.00
LIC-MX65-ENT-7YR,UTM,"Meraki MX65 Enterprise License and Support, 7 Years",1365.00
LIC-MX65-ENT-10YR,UTM,"Meraki MX65 Enterprise License and Support, 10 Years",1800.00
LIC-MX65-SEC-1YR,UTM,"Meraki MX65 Advanced Security License and Support, 1 Year",650.00
LIC-MX65-SEC-3YR,UTM,"Meraki MX65 Advanced Security License and Support, 3 Years",1300.00
LIC-MX65-SEC-5YR,UTM,"Meraki MX65 Advanced Security License and Support, 5 Years",1950.00
LIC-MX65-SEC-7YR,UTM,"Meraki MX65 Advanced Security License and Support, 7 Years",2730.00
LIC-MX65-SEC-10YR,UTM,"Meraki MX65 Advanced Security License and Support, 10 Years",3600.00
LIC-MX65W-ENT-1YR,UTM,"Meraki MX65W Enterprise License and Support, 1 Year",400.00
LIC-MX65W-ENT-3YR,UTM,"Meraki MX65W Enterprise License and Support, 3 Years",800.00
LIC-MX65W-ENT-5YR,UTM,"Meraki MX65W Enterprise License and Support, 5 Years",1200.00
LIC-MX65W-ENT-7YR,UTM,"Meraki MX65W Enterprise License and Support, 7 Years",1680.00
LIC-MX65W-ENT-10YR,UTM,"Meraki MX65W Enterprise License and Support, 10 Years",1800.00
LIC-MX65W-SEC-1YR,UTM,"Meraki MX65W Advanced Security License and Support, 1 Year",800.00
LIC-MX65W-SEC-3YR,UTM,"Meraki MX65W Advanced Security License and Support, 3 Years",1600.00
LIC-MX65W-SEC-5YR,UTM,"Meraki MX65W Advanced Security License and Support, 5 Years",2400.00
LIC-MX65W-SEC-7YR,UTM,"Meraki MX65W Advanced Security License and Support, 7 Years",3360.00
LIC-MX65W-SEC-10YR,UTM,"Meraki MX65W Advanced Security License and Support, 10 Years",3600.00
LIC-MX70-ENT-1YR,UTM,"EOS Meraki MX70 Enterprise License, 1 Year",500.00
LIC-MX70-ENT-3YR,UTM,"EOS Meraki MX70 Enterprise License, 3 Years",1000.00
LIC-MX70-ENT-5YR,UTM,"EOS Meraki MX70 Enterprise License, 5 Years",1500.00
LIC-MX70-SEC-1YR,UTM,"EOS Meraki MX70 Advanced Security License, 1 Year",1000.00
LIC-MX70-SEC-3YR,UTM,"EOS Meraki MX70 Advanced Security License, 3 Years",2000.00
LIC-MX70-SEC-5YR,UTM,"EOS Meraki MX70 Advanced Security License, 5 Years",3000.00
LIC-MX80-ENT-1YR,UTM,"Meraki MX80 Enterprise License and Support, 1 Year",1000.00
LIC-MX80-ENT-3YR,UTM,"Meraki MX80 Enterprise License and Support, 3 Years",2000.00
LIC-MX80-ENT-5YR,UTM,"Meraki MX80 Enterprise License and Support, 5 Years",3000.00
LIC-MX80-ENT-7YR,UTM,"Meraki MX80 Enterprise License and Support, 7 Years",4200.00
LIC-MX80-ENT-10YR,UTM,"Meraki MX80 Enterprise License and Support, 10 Years",6000.00
LIC-MX80-SEC-1YR,UTM,"Meraki MX80 Advanced Security License and Support, 1 Year",2000.00
LIC-MX80-SEC-3YR,UTM,"Meraki MX80 Advanced Security License and Support, 3 Years",4000.00
LIC-MX80-SEC-5YR,UTM,"Meraki MX80 Advanced Security License and Support, 5 Years",6000.00
LIC-MX80-SEC-7YR,UTM,"Meraki MX80 Advanced Security License and Support, 7 Years",8400.00
LIC-MX80-SEC-10YR,UTM,"Meraki MX80 Advanced Security License and Support, 10 Years",12000.00
LIC-MX84-ENT-1YR,UTM,"Meraki MX84 Enterprise License and Support, 1 Year",1000.00
LIC-MX84-ENT-3YR,UTM,"Meraki MX84 Enterprise License and Support, 3 Years",2000.00
LIC-MX84-ENT-5YR,UTM,"Meraki MX84 Enterprise License and Support, 5 Years",3000.00
LIC-MX84-ENT-7YR,UTM,"Meraki MX84 Enterprise License and Support, 7 Years",4200.00
LIC-MX84-ENT-10YR,UTM,"Meraki MX84 Enterprise License and Support, 10 Years",6000.00
LIC-MX84-SEC-1YR,UTM,"Meraki MX84 Advanced Security License and Support, 1 Year",2000.00
LIC-MX84-SEC-3YR,UTM,"Meraki MX84 Advanced Security License and Support, 3 Years",4000.00
LIC-MX84-SEC-5YR,UTM,"Meraki MX84 Advanced Security License and Support, 5 Years",6000.00
LIC-MX84-SEC-7YR,UTM,"Meraki MX84 Advanced Security License and Support, 7 Years",8400.00
LIC-MX84-SEC-10YR,UTM,"Meraki MX84 Advanced Security License and Support, 10 Years",12000.00
LIC-MX90-ENT-1YR,UTM,"Meraki MX90 Enterprise License and Support, 1 Year",2000.00
LIC-MX90-ENT-3YR,UTM,"Meraki MX90 Enterprise License and Support, 3 Years",4000.00
LIC-MX90-ENT-5YR,UTM,"Meraki MX90 Enterprise License and Support, 5 Years",6000.00
LIC-MX90-ENT-7YR,UTM,"Meraki MX90 Enterprise License and Support, 7 Years",8400.00
LIC-MX90-ENT-10YR,UTM,"Meraki MX90 Enterprise License and Support, 10 Years",12000.00
LIC-MX90-SEC-1YR,UTM,"Meraki MX90 Advanced Security License and Support, 1 Year",4000.00
LIC-MX90-SEC-3YR,UTM,"Meraki MX90 Advanced Security License and Support, 3 Years",8000.00
LIC-MX90-SEC-5YR,UTM,"Meraki MX90 Advanced Security License and Support, 5 Years",12000.00
LIC-MX90-SEC-7YR,UTM,"Meraki MX90 Advanced Security License and Support, 7 Years",16800.00
LIC-MX90-SEC-10YR,UTM,"Meraki MX90 Advanced Security License and Support, 10 Years",24000.00
LIC-MX100-ENT-1YR,UTM,"Meraki MX100 Enterprise License and Support, 1 Year",2500.00
LIC-MX100-ENT-3YR,UTM,"Meraki MX100 Enterprise License and Support, 3 Years",5000.00
LIC-MX100-ENT-5YR,UTM,"Meraki MX100 Enterprise License and Support, 5 Years",7500.00
LIC-MX100-ENT-7YR,UTM,"Meraki MX100 Enterprise License and Support, 7 Years",10500.00
